id	tahunke1	tahunke2	idx
221	2011	2016	3.13333
222	2011	2016	3.15333
223	2011	2016	3.11333
224	2011	2016	2.95333
225	2011	2016	2.96
226	2011	2016	3.00667
227	2011	2016	3.18
228	2011	2016	3.12
229	2011	2016	3.21333
230	2011	2016	3.12667
231	2011	2016	2.96667
232	2011	2016	3.52667
233	2011	2016	3.22667
234	2011	2016	2.96667
235	2011	2016	3.09333
236	2011	2016	3.05333
237	2012	2016	3.58667
238	2011	2016	3.48
239	2011	2016	3.41333
240	2011	2016	3.44667
241	2011	2016	2.85333
242	2011	2016	2.81333
243	2011	2016	3.21333
244	2011	2016	2.89333
245	2011	2016	3.30667
246	2012	2016	3.10667
247	2011	2016	3.10667
248	2011	2016	3.05333
249	2011	2016	3.34
250	2011	2016	3.17333
251	2012	2016	3.11333
252	2011	2016	3.25333
253	2012	2016	3.51333
254	2011	2016	3.06667
255	2011	2016	2.77333
256	2011	2016	3.01333
257	2011	2016	3.06
258	2011	2016	3.27333
259	2011	2016	2.81333
260	2011	2016	2.76667
261	2011	2016	2.9
262	2011	2016	3.14667
263	2011	2016	2.82667
264	2011	2016	2.85333
265	2011	2016	2.92667
266	2011	2016	2.66
267	2011	2016	3
268	2011	2016	3.36667
269	2011	2016	3.18667
270	2011	2016	3.14
271	2011	2016	3.18
272	2011	2016	2.58667
273	2011	2016	3.06667
274	2011	2016	3.46667
275	2011	2016	2.92
276	2011	2016	3.45333
277	2011	2016	3.25333
278	2011	2016	3.08667
279	2011	2016	3.16
280	2011	2016	2.87333
281	2011	2016	3.00667
282	2011	2016	3.29333
283	2011	2016	3.03333
284	2011	2016	3.23333
285	2011	2016	3.26667
286	2011	2016	3.53333
287	2011	2016	3.3
288	2011	2016	3.22667
289	2011	2016	2.72
290	2011	2016	2.9
291	2011	2016	2.62667
292	2011	2016	3.18
293	2011	2016	2.71333
294	2011	2016	3.32667
295	2011	2016	3.14
296	2011	2016	2.95333
297	2012	2016	2.97333
298	2011	2016	3.13333
299	2011	2016	3.44667
300	2011	2016	3.22
301	2011	2016	3.18667
302	2011	2016	3.34667
303	2011	2016	3.02
304	2011	2016	3.34
305	2011	2016	2.81333
306	2011	2016	3.12
307	2011	2016	3.10667
308	2011	2016	3.28667
309	2011	2016	3.11333
310	2011	2016	2.73333
311	2012	2016	3.33333
